,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
214,0.0759354591369629,0.014075699927608537,0.001062154769897461,0.00027983780860565456,0.001,"(50,)",7,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 7}",0.7275120666959193,0.49999999999999983,0.49038461538461536,0.7710622710622712,0.8063186813186813,0.6586529670636208,0.13605132013728452,26,0.7591346153846155,0.5010976639459611,0.4950182943990992,0.7086656034024457,0.7392344497607656,0.6406301253785774,0.11753047802424346
215,0.04725322723388672,0.004388222580070812,0.000750732421875,1.2986614263281362e-05,0.001,"(50,)",8,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 8}",0.5,0.49999999999999983,0.49999999999999994,0.5,0.49999999999999994,0.49999999999999994,6.087353060601351e-17,181,0.49759615384615385,0.49999999999999994,0.4957641429777652,0.5015948963317386,0.5034556087187666,0.4996821603748849,0.002745934334026174
216,0.05360054969787598,0.007390149314860165,0.0008036613464355469,7.462103897079961e-05,0.001,"(50,)",9,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 9}",0.8025449758666081,0.4999999999999996,0.4999999999999998,0.9189560439560441,0.8328754578754581,0.7103723182602437,0.176251808896037,10,0.7862556561085974,0.5,0.5,0.845826687931951,0.7700691121743753,0.6804302912429848,0.14946589851913408
217,0.06990261077880859,0.013206940847295782,0.0010508060455322265,0.00019755948712010351,0.001,"(50,)",10,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 10}",0.5813953488372093,0.6625670840787117,0.7198121645796064,0.6199633699633701,0.5544871794871794,0.6277180037115273,0.058764485114229624,55,0.616091628959276,0.7005347593582887,0.6952856740782437,0.5039872408293462,0.5879851143009038,0.6207768835052117,0.07300678188677533
218,0.08337936401367188,0.04153918152174777,0.001059722900390625,0.00019789249919211583,0.001,"(50,)",15,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 15}",0.6362439666520403,0.711762075134168,0.7198121645796064,0.6112637362637363,0.49999999999999994,0.6361556218991469,0.07967166871989637,42,0.6299208144796381,0.7879960596678863,0.6284970447509147,0.6262626262626264,0.48272195640616694,0.6310797003134465,0.0966063986895808
219,0.14318952560424805,0.07466307966843744,0.0011089801788330077,0.0003418128800689464,0.001,"(50,)",20,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 20}",0.7836770513383063,0.7101967799642217,0.56216457960644,0.646978021978022,0.5782967032967032,0.6567155068850515,0.08287330875889944,32,0.7269513574660634,0.7539544047283986,0.6210948494230227,0.7166400850611376,0.6578947368421053,0.6953070867041455,0.04858622168240755
220,0.14131464958190917,0.06327479549184628,0.0017917633056640625,0.0010588945892003481,0.001,"(50,)",25,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 25}",0.5,0.4999999999999996,0.4999999999999998,0.5000000000000001,0.49999999999999994,0.4999999999999999,1.7548611347383402e-16,316,0.5000000000000001,0.5,0.5,0.49946836788942056,0.5000000000000001,0.4998936735778841,0.00021265284423179764
221,0.12069215774536132,0.03414748640924063,0.0010216236114501953,0.00017463447276301828,0.001,"(50,)",30,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 30}",0.8786748573935936,0.7602862254025045,0.4999999999999998,0.5000000000000001,0.49999999999999994,0.6288607124958289,0.16129240711367707,53,0.8586255656108599,0.8372924289332958,0.5,0.5000000000000001,0.5000000000000001,0.6391835989088311,0.1705978358006687
222,0.13146681785583497,0.027835264296977615,0.0013333797454833985,0.0005455300642193375,0.001,"(50,)",35,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 35}",0.5,0.49999999999999983,0.49999999999999994,0.5,0.49999999999999994,0.49999999999999994,6.087353060601351e-17,181,0.5000000000000001,0.49999999999999994,0.49999999999999994,0.5000000000000001,0.5000000000000001,0.5,9.288792252416251e-17
223,0.1624117374420166,0.03120607198455841,0.0010848045349121094,0.0001748106093209444,0.001,"(50,)",40,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 40}",0.843791136463361,0.8088103756708409,0.8665026833631485,0.5000000000000001,0.6428571428571428,0.733306458095534,0.1399553612365082,6,0.8225395927601811,0.7778778497044749,0.8192513368983956,0.5000000000000001,0.6762360446570974,0.7191809648040298,0.12167741872668957
