,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
195,0.1527987003326416,0.05806779404990106,0.0015820980072021485,6.66792277947118e-05,0.001,"(50, 50)",163,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 163}",0.9251864853005705,0.9190518783542039,0.8917710196779965,0.9020146520146521,0.8878205128205128,0.9052543953510956,0.014744877287122093,40,0.986368778280543,0.9911764705882353,0.9514494793132564,0.9287612971823499,0.9728867623604467,0.9661285575449664,0.023214328766157515
196,0.12549924850463867,0.03063769536212961,0.001294088363647461,0.00031987892806336894,0.001,"(50, 50)",42,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 42}",0.8343571741992101,0.8649373881932021,0.882155635062612,0.9116300366300368,0.887820512820513,0.875992568735819,0.025744975482634345,187,0.9128676470588236,0.898508302842668,0.9067830002814521,0.8710792131844765,0.8992557150451889,0.8976987756825217,0.014312919320557756
197,0.17799029350280762,0.02576264224111375,0.0019072532653808595,0.0003509830378331513,0.001,"(50, 50)",176,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 176}",0.8714348398420361,0.8902057245080501,0.9555008944543829,0.870879120879121,0.9189560439560441,0.9013594491999413,0.03224035743257319,57,0.9834276018099548,0.9952153110047847,0.9869406135660005,0.9399255715045188,0.9864433811802232,0.9783904958130965,0.019626261597396808
198,0.11398601531982422,0.025647692186775765,0.001386737823486328,0.00021076405209217072,0.001,"(50, 50)",55,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 55}",0.7485739359368143,0.8512969588550984,0.868515205724508,0.9450549450549451,0.84981684981685,0.8522430426222479,0.0627642536603374,251,0.7767816742081448,0.9244300591049817,0.9479594708696875,0.9439128123338648,0.8740031897926637,0.8934174412618685,0.0639800176230701
199,0.1793351173400879,0.059592183434580386,0.001640462875366211,3.381464743996974e-05,0.001,"(50, 50)",190,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 190}",0.8903027643703378,0.8381037567084079,0.9691413237924869,0.8850732600732601,0.8855311355311357,0.8936585679619212,0.04231430561145342,85,0.9893099547511314,0.9757247396566281,0.9887841260906277,0.9617224880382774,0.9758107389686336,0.9782704095010596,0.010186009176095237
200,0.14505882263183595,0.05846194137181802,0.0015384197235107423,0.00043777148308604745,0.001,"(50, 50)",69,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 69}",0.8903027643703378,0.8902057245080501,0.8705277280858675,0.7582417582417582,0.887820512820513,0.8596383899911985,0.05096942655799829,232,0.9684671945701357,0.9450182943990993,0.9167041936391781,0.6895268474215842,0.8553960659223818,0.8750225191904759,0.10016238795235548
201,0.16277170181274414,0.0653678901664772,0.0018129825592041015,0.00031140866904471996,0.001,"(50, 50)",203,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 203}",0.8126371215445372,0.8047853309481218,0.915026833631485,0.9711538461538463,0.8997252747252749,0.880291047818514,0.06343205997190678,153,0.8989819004524886,0.9551365043625106,0.9786659161272165,0.9864433811802232,0.9486975013290803,0.9535850406903039,0.030713250745558054
202,0.16224441528320313,0.04966487095320188,0.0017315864562988282,0.00045345662869669424,0.001,"(50, 50)",82,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 82}",0.8881088196577446,0.8709749552772809,0.8821556350626119,0.9139194139194139,0.8997252747252749,0.8909039103418438,0.014730983625962138,99,0.9412047511312218,0.9207430340557274,0.8988601182099634,0.9093567251461989,0.9359383306751727,0.9212205918436569,0.015855274417823518
203,0.24317378997802735,0.06406254218882776,0.004090452194213867,0.004351240333528384,0.001,"(50, 50)",217,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 217}",0.8626590609916631,0.845706618962433,0.9555008944543829,0.9569597069597071,0.8923992673992674,0.902467778944179,0.04625299326844659,55,0.9673925339366517,0.9887841260906276,0.982901773149451,0.9941520467836257,0.9922913343965977,0.9851043628713907,0.009650016444816579
204,0.17239174842834473,0.08760901869207424,0.0016138553619384766,0.00034154920646692506,0.001,"(50, 50)",96,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 96}",0.8481790258885477,0.8922182468694096,0.7819767441860466,0.8997252747252747,0.8108974358974361,0.8465659186373496,0.045464940046015735,258,0.9246323529411766,0.9685477061638053,0.867759639741064,0.8880914407230197,0.8431685273790539,0.8984399333896238,0.04405551653661255
