,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
200,0.10172781944274903,0.03969042785806253,0.0017460346221923827,0.0003379444417166221,0.001,"(50, 50)",20,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 20}",0.7101799034664328,0.768783542039356,0.5999552772808584,0.631868131868132,0.6703296703296703,0.676400953533315,0.059274387630397316,249,0.8033088235294118,0.779130312412046,0.6649310441880101,0.6523125996810208,0.8588516746411483,0.7517068908903274,0.08037920238589227
201,0.13463430404663085,0.04198905706909451,0.0024309158325195312,0.0007978274550937537,0.001,"(50, 50)",25,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 25}",0.5903905221588416,0.7354651162790699,0.6809033989266545,0.6872710622710623,0.7156593406593407,0.6816623564287986,0.0500292963191041,234,0.7492929864253394,0.8297213622291021,0.7510132282578103,0.7081339712918662,0.795055821371611,0.7666434739151458,0.041844443776446597
202,0.15393919944763185,0.021398902070497272,0.0018681049346923827,0.00013015799337821025,0.001,"(50, 50)",30,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 30}",0.7428696796840719,0.7506708407871198,0.6368515205724505,0.7847985347985349,0.7660256410256413,0.7360919538107651,0.051710208586251416,121,0.8145079185520363,0.8347030678300027,0.7320292710385589,0.797979797979798,0.8203083466241361,0.7999056804049063,0.03592010103258167
203,0.18304967880249023,0.029824328737322117,0.0017471790313720703,0.0001797429050096507,0.001,"(50, 50)",35,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 35}",0.7878455462922335,0.7895796064400715,0.8224508050089446,0.7898351648351648,0.7802197802197804,0.7940110260904554,0.014660045722595662,13,0.890950226244344,0.8887419082465522,0.8799183788347874,0.9205209994683679,0.9040404040404041,0.896834383366891,0.014136797262690824
204,0.13582196235656738,0.0662543710987815,0.00163116455078125,0.00026713354747312653,0.001,"(50, 50)",40,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 40}",0.6077226853883282,0.787567084078712,0.7643112701252238,0.6872710622710623,0.777930402930403,0.7246809265307829,0.06868557458770125,148,0.6648472850678734,0.8580354629890233,0.8516042780748662,0.7488038277511961,0.8726741095162149,0.7991929926798347,0.0802454868217934
205,0.1429002285003662,0.035418609237522825,0.001345348358154297,0.00014506601123492717,0.001,"(50, 50)",45,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 45}",0.7871873628784555,0.7202593917710196,0.7274150268336316,0.9235347985347986,0.7110805860805861,0.7737403011764129,0.07917330076011492,39,0.8350961538461539,0.8534477905994933,0.8698001688713763,0.9364699627857522,0.8439659755449231,0.8677560103295396,0.03623021661185788
206,0.1816404342651367,0.042829763831087074,0.0015856266021728516,0.0002853028173945773,0.001,"(50, 50)",50,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 50}",0.6665204036858271,0.7895796064400715,0.7526833631484794,0.7921245421245423,0.7490842490842493,0.749735373920629,0.045594091663513796,80,0.7299773755656109,0.8892907402195327,0.8275260343371799,0.9125465178096756,0.861244019138756,0.844116937414151,0.06374906196218816
207,0.15784211158752443,0.05023365536883897,0.0017872333526611328,0.00019502636272924432,0.001,"(50, 50)",55,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 55}",0.7428696796840719,0.7374776386404294,0.7991949910554562,0.7944139194139196,0.7536630036630038,0.7654401262447486,0.02611951400002097,47,0.8837386877828055,0.8719954967632987,0.9100759921193358,0.8545986177565126,0.8421052631578949,0.8725028115159695,0.023591597168283306
208,0.19496378898620606,0.09142713848953272,0.001802825927734375,0.00015541267850315002,0.001,"(50, 50)",60,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 60}",0.8271171566476524,0.7895796064400715,0.7719141323792488,0.7683150183150185,0.7467948717948719,0.7809398352243454,0.026943852314943187,21,0.9339932126696835,0.8964677737123558,0.8537996059667885,0.7947900053163213,0.9274322169059012,0.88129656291421,0.05172053412442501
209,0.043659400939941403,0.0021800825726611354,0.001447772979736328,0.00012139918194010672,0.001,"(50,)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 2}",0.7400175515577008,0.7162343470483005,0.7739266547406085,0.7536630036630038,0.7032967032967032,0.7374708704086457,0.025331119163522278,115,0.7346436651583711,0.7495215311004784,0.7432451449479313,0.7496012759170656,0.7461456671982989,0.744631456864429,0.005524176034100374
